municipio,periodo,quantidade
Trindade,Agosto de 2024,0
Trindade,Agosto de 2023,3
Trindade,Agosto de 2022,4
Trindade,Março de 2024,1
Trindade,Março de 2023,3
Trindade,Março de 2022,0
Trindade,Setembro de 2024,0
Trindade,Setembro de 2023,3
Trindade,Setembro de 2022,1
Trindade,Janeiro de 2024,3
Trindade,Janeiro de 2023,3
Trindade,Janeiro de 2022,2
Trindade,Maio de 2024,3
Trindade,Maio de 2023,1
Trindade,Maio de 2022,1
Trindade,Junho de 2024,1
Trindade,Junho de 2023,3
Trindade,Junho de 2022,3
Trindade,Fevereiro de 2024,4
Trindade,Fevereiro de 2023,1
Trindade,Fevereiro de 2022,2
Trindade,Outubro de 2024,0
Trindade,Outubro de 2023,4
Trindade,Outubro de 2022,2
Trindade,N/A de 2024,0
Trindade,N/A de 2023,0
Trindade,N/A de 2022,0
Trindade,Novembro de 2024,0
Trindade,Novembro de 2023,2
Trindade,Novembro de 2022,1
Trindade,Dezembro de 2024,0
Trindade,Dezembro de 2023,0
Trindade,Dezembro de 2022,2
Trindade,Julho de 2024,0
Trindade,Julho de 2023,3
Trindade,Julho de 2022,1
Trindade,Abril de 2024,1
Trindade,Abril de 2023,1
Trindade,Abril de 2022,3
Aparecida de Goiânia,Agosto de 2024,0
Aparecida de Goiânia,Agosto de 2023,13
Aparecida de Goiânia,Agosto de 2022,11
Aparecida de Goiânia,Março de 2024,15
Aparecida de Goiânia,Março de 2023,11
Aparecida de Goiânia,Março de 2022,14
Aparecida de Goiânia,Setembro de 2024,0
Aparecida de Goiânia,Setembro de 2023,6
Aparecida de Goiânia,Setembro de 2022,21
Aparecida de Goiânia,Janeiro de 2024,14
Aparecida de Goiânia,Janeiro de 2023,13
Aparecida de Goiânia,Janeiro de 2022,8
Aparecida de Goiânia,Maio de 2024,14
Aparecida de Goiânia,Maio de 2023,22
Aparecida de Goiânia,Maio de 2022,11
Aparecida de Goiânia,Junho de 2024,9
Aparecida de Goiânia,Junho de 2023,11
Aparecida de Goiânia,Junho de 2022,13
Aparecida de Goiânia,Fevereiro de 2024,9
Aparecida de Goiânia,Fevereiro de 2023,10
Aparecida de Goiânia,Fevereiro de 2022,12
Aparecida de Goiânia,Outubro de 2024,0
Aparecida de Goiânia,Outubro de 2023,8
Aparecida de Goiânia,Outubro de 2022,10
Aparecida de Goiânia,N/A de 2024,0
Aparecida de Goiânia,N/A de 2023,0
Aparecida de Goiânia,N/A de 2022,0
Aparecida de Goiânia,Novembro de 2024,0
Aparecida de Goiânia,Novembro de 2023,5
Aparecida de Goiânia,Novembro de 2022,4
Aparecida de Goiânia,Dezembro de 2024,0
Aparecida de Goiânia,Dezembro de 2023,10
Aparecida de Goiânia,Dezembro de 2022,12
Aparecida de Goiânia,Julho de 2024,0
Aparecida de Goiânia,Julho de 2023,11
Aparecida de Goiânia,Julho de 2022,15
Aparecida de Goiânia,Abril de 2024,5
Aparecida de Goiânia,Abril de 2023,7
Aparecida de Goiânia,Abril de 2022,11
Senador Canedo,Agosto de 2024,0
Senador Canedo,Agosto de 2023,3
Senador Canedo,Agosto de 2022,0
Senador Canedo,Março de 2024,2
Senador Canedo,Março de 2023,1
Senador Canedo,Março de 2022,9
Senador Canedo,Setembro de 2024,0
